date,markets,active_markets,fills,pnl_usdc,start_equity,end_equity,return_pct,max_intraday_dd_pct,br2_late_favourite_load_pnl,br2_late_confirm_pnl,br2_high_skew_load_pnl,br2_convex_tail_pnl,br2_late_favourite_load_fills,br2_late_confirm_fills,br2_high_skew_load_fills,br2_convex_tail_fills
2026-04-17,288,33,51,147.79,9764.34,9912.13,1.5136,6.0013,270.73,-318.32,198.22,-2.84,18,13,19,1
2026-04-18,288,10,13,233.19,9912.13,10145.32,2.3526,2.0752,79.81,171.04,-17.65,0.00,4,6,3,0
2026-04-19,288,12,18,124.06,10145.32,10269.38,1.2228,2.1755,97.46,-12.74,41.28,-1.94,6,3,8,1
2026-04-20,288,25,35,-299.98,10269.38,9969.41,-2.9211,4.5019,-219.26,-141.40,60.68,0.00,8,13,14,0
2026-04-21,288,21,41,391.21,9969.41,10360.62,3.9241,1.9022,149.49,324.99,-67.45,-15.83,15,6,16,4
2026-04-22,288,40,72,144.22,10360.62,10504.84,1.3920,6.0556,136.52,-9.61,29.56,-12.25,25,13,30,4
2026-04-23,288,41,74,-516.05,10504.84,9988.79,-4.9125,7.8601,-162.10,-385.61,36.60,-4.93,20,22,28,4
2026-04-24,288,20,39,294.15,9988.79,10282.94,2.9448,1.3440,-6.94,122.85,86.54,91.70,17,8,9,5
2026-04-25,288,0,0,0.00,10282.94,10282.94,0.0000,0.0000,0.00,0.00,0.00,0.00,0,0,0,0
2026-04-26,288,5,13,291.79,10282.94,10574.73,2.8376,0.0000,92.06,169.37,40.05,-9.69,5,3,3,2
2026-04-27,288,18,23,-118.15,10574.73,10456.58,-1.1173,3.0120,-135.89,-9.96,30.45,-2.75,11,7,3,2
2026-04-28,288,8,9,134.46,10456.58,10591.04,1.2859,1.8248,30.24,104.22,0.00,0.00,3,6,0,0
2026-04-29,288,15,19,-138.72,10591.04,10452.31,-1.3098,2.9982,-24.74,-114.71,6.18,-5.45,4,9,4,2
2026-04-30,288,7,13,-310.29,10452.31,10142.02,-2.9687,3.4464,-40.21,-123.77,-146.32,0.00,6,3,4,0
2026-05-01,288,8,13,1.82,10142.02,10143.84,0.0180,1.5014,30.03,-110.99,84.14,-1.37,2,4,6,1
2026-05-02,288,0,0,0.00,10143.84,10143.84,0.0000,0.0000,0.00,0.00,0.00,0.00,0,0,0,0
2026-05-03,288,1,1,1.25,10143.84,10145.09,0.0124,0.0000,0.00,0.00,1.25,0.00,0,0,1,0
2026-05-04,288,23,42,54.36,10145.09,10199.45,0.5358,2.4957,-2.20,-9.25,71.31,-5.50,20,7,13,2
2026-05-05,288,14,22,168.62,10199.45,10368.06,1.6532,2.8040,181.88,28.89,-36.37,-5.78,11,3,7,1
2026-05-06,288,14,21,-177.08,10368.06,10190.98,-1.7080,3.8330,-103.98,-113.04,41.18,-1.24,8,6,6,1
2026-05-07,284,14,20,32.41,10190.98,10223.39,0.3181,2.4802,-186.76,257.51,-33.16,-5.18,3,8,7,2
2026-05-08,288,7,10,-44.54,10223.39,10178.85,-0.4357,1.5310,-95.83,14.80,37.93,-1.45,4,1,4,1
